Clave,Programa Academico,Area Academica,Escuela
AMC19,Ambiente Construido Exploración,Ambiente Construido,"Arquitectura, Arte y Diseño"
ARQ,Arquitectura,Ambiente Construido,"Arquitectura, Arte y Diseño"
ARQ07,Arquitectura,Ambiente Construido,"Arquitectura, Arte y Diseño"
ARQ11,Arquitectura,Ambiente Construido,"Arquitectura, Arte y Diseño"
ARQ19,Arquitectura,Ambiente Construido,"Arquitectura, Arte y Diseño"
BA 11,Arquitectura,Ambiente Construido,"Arquitectura, Arte y Diseño"
ADI17,Arquitectura y Diseño Exploración,Ambiente Construido,"Arquitectura, Arte y Diseño"
LUB19,Licenciatura en Urbanismo,Ambiente Construido,"Arquitectura, Arte y Diseño"
MDU21,Maestría en Arquitectura y Diseño Urbano,Ambiente Construido,"Arquitectura, Arte y Diseño"
CIS17,Ciencias Sociales y Gobierno / Exploración,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
CIS19,Ciencias Sociales y Gobierno / Exploración,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
DCS11,Doctorado en Ciencias Sociales,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
DPP11,Doctorado en Política Pública,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
BPS11,Licenciatura en Ciencia Política,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LPL04,Licenciatura en Ciencia Política,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LPL07,Licenciatura en Ciencia Política,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LPL11,Licenciatura en Ciencia Política,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
BL 11,Licenciatura en Derecho,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LED06,Licenciatura en Derecho,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LED11,Licenciatura en Derecho,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LED19,Licenciatura en Derecho,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LDP11,Licenciatura en Derecho y Ciencia Política,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
BLF11,Licenciatura en Derecho y Finanzas,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LDF09,Licenciatura en Derecho y Finanzas,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LDF11,Licenciatura en Derecho y Finanzas,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
BE,Licenciatura en Economía,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
BE 11,Licenciatura en Economía,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
BE11,Licenciatura en Economía,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LEC,Licenciatura en Economía,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LEC07,Licenciatura en Economía,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LEC11,Licenciatura en Economía,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LEC19,Licenciatura en Economía,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LEP11,Licenciatura en Economía y Ciencia Política,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LEF09,Licenciatura en Economía y Finanzas,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LEF11,Licenciatura en Economía y Finanzas,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LTP19,Licenciatura en Gobierno y Transformación Pública,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
BIA07,Licenciatura en Relaciones Internacionales,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
BIA11,Licenciatura en Relaciones Internacionales,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
LRI,Licenciatura en Relaciones Internacionales,"Derecho, Economía y Relaciones Internacionales",Ciencias Sociales y Gobierno
