Campus,Region
Aguascalientes,Occidente
Chiapas,Desarrollo Regional
Chihuahua,Occidente
Ciudad de México,Ciudad de Mexico
Ciudad Juárez,Desarrollo Regional
Ciudad Obregón,Desarrollo Regional
Cuernavaca,Centro Sur
Estado de México,Ciudad de Mexico
Guadalajara,Occidente
Hidalgo​​​​​​,Centro Sur
Irapuato,Desarrollo Regional
Laguna,Norte
León,Occidente
Monterrey,Norte
Morelia,Occidente
Puebla,Centro Sur
Querétaro,Centro Sur
Saltillo,Norte
San Luis Potosí,Centro Sur
Santa Fe,Ciudad de Mexico
Sinaloa,Occidente
Sonora Norte,Occidente
Tampico,Centro Sur
Toluca,Centro Sur
Zacatecas,Desarrollo Regional
Cumbres,Desarrollo Regional
Central de Veracruz,Desarrollo Regional
Ciudad Matamoros,Desarrollo Regional
Eugenio Garza Sada,Desarrollo Regional
Eugenio Garza Lagüera,Desarrollo Regional
Santa Catarina,Desarrollo Regional
Valle Alto,Desarrollo Regional
Universidad Virtual,Norte
EGADE Monterrey,Norte
EGADE Santa Fe,Ciudad de Mexico
EGADE Ciudad de Mexico,Ciudad de Mexico
EGAP Monterrey,Norte
EGAP Santa Fe,Ciudad de Mexico
